ubicacion,precio,area,habitaciones,banos,antiguedad
"Calle Domingo Rengifo
Tumbaco, Quito","Casas desde
USD 156.999",180 a 199 m² tot.,2 a 3 hab.,No disponible,No disponible
"Pacho Salas
Tumbaco, Quito","Suites, departamentos y otros desde
USD 134.901",73 a 392 m² tot.,1 a 4 hab.,No disponible,No disponible
"Pachosalas
Cumbayá, Quito","Casas desde
USD 292.500",258 a 470 m² tot.,3 hab.,No disponible,No disponible
"TUMBACO - LA BUENA ESPERANZA, PRECIOSAS CASAS EN VENTA
Tumbaco, Quito","Casas desde
USD 133.500",125 a 142 m² tot.,3 hab.,No disponible,No disponible
"chiche obraje 170179
Puembo, Quito","Casas desde
USD 206.000",No disponible,3 a 4 hab.,No disponible,No disponible
"Gaspar de Carvajal y de Los Cipreses
Tumbaco, Quito","Casas desde
USD 209.335",227 m² tot.,3 hab.,No disponible,No disponible
"tanda
Cumbayá, Quito","Casas desde
USD 205.700",163 a 206 m² tot.,3 hab.,No disponible,No disponible
"Francisco Londoño y Cardenal de la Torre
Puembo, Quito","Casas desde
USD 140.000",125 m² tot.,3 hab.,No disponible,No disponible
"García Moreno y José Peralta
Conocoto, Quito","Casas desde
USD 95.000",89 m² tot.,3 hab.,No disponible,No disponible
"SAN JUAN DE CUMBAYÁ
Cumbayá, Quito","Suites, departamentos y otros desde
USD 82.000",54 a 164 m² tot.,1 a 3 hab.,No disponible,No disponible
"San Patricio
San Patricio de Cumbayá, Quito",USD 380.000,515 m² tot.,3 hab.,3 baños,3 baños
"Calle Medicinwow
Calderón, Quito","USD 93.000
USD 40 Alícuota",154 m² tot.,3 hab.,2 baños,2 baños
"Aurelio Dávila Cajas & Río Peripa
Tumbaco, Quito",USD 349.000,401 m² tot.,3 hab.,3 baños,3 baños
"Calle Rafael León y Vizcaya
La Floresta, Quito",USD 500.000,555 m² tot.,5 hab.,3 baños,3 baños
"Sebastián de Benalcázar y Enrique Gil
La Armenia, Quito","USD 105.000
USD 52 Alícuota",179 m² tot.,3 hab.,2 baños,2 baños
"Campo Alegre
Monteserrín, Quito","USD 440.000
USD 150 Alícuota",637 m² tot.,3 hab.,4 baños,4 baños
"La Armenia 1
San Rafael, Quito","USD 98.000
USD 80 Alícuota",191 m² tot.,2 hab.,2 baños,2 baños
"Av. Simón Bolivar
Pomasqui, Quito",USD 119.500,194 m² tot.,3 hab.,2 baños,2 baños
"Francisco de Orellana & Alba Calderón
Tumbaco, Quito","USD 259.000
USD 185 Alícuota",171 m² tot.,4 hab.,4 baños,4 baños
"Ruta Viva
Cumbayá, Quito","USD 1.090.000
USD 350 Alícuota",1400 m² tot.,4 hab.,4 baños,4 baños
"Campo Alegre
Monteserrín, Quito","USD 1.200.000
USD 120 Alícuota",2220 m² tot.,4 hab.,4 baños,4 baños
"Puembo
Puembo, Quito",USD 580.000,2338 m² tot.,5 hab.,5 baños,5 baños
"Cumbayá / Santa Ines
Cumbayá, Quito",USD 1.900.000,853 m² tot.,4 hab.,5 baños,5 baños
"Site Center
Cumbayá, Quito","USD 595.000
USD 300 Alícuota",350 m² tot.,3 hab.,4 baños,4 baños
"Vencedores y Cacha 12
Calderón, Quito","USD 70.000
USD 35 Alícuota",100 m² tot.,3 hab.,2 baños,2 baños
"El Inca
El Inca, Quito","USD 97.000
USD 80 Alícuota",160 m² tot.,4 hab.,3 baños,3 baños
"Casa DE Venta Tumbaco Sector LA Morita
Tumbaco, Quito","USD 149.500
USD 142 Alícuota",184 m² tot.,3 hab.,2 baños,2 baños
"AV. Tarqui Sector Parque EL Arbolito
Centro Norte, Quito",USD 1.430.000,1950 m² tot.,6 hab.,5 baños,5 baños
"La Primavera
San Patricio de Cumbayá, Quito","USD 270.000
USD 180 Alícuota",196 m² tot.,3 hab.,3 baños,3 baños
"Av. Ilalo
Los Chillos, Quito","USD 299.000
USD 80 Alícuota",500 m² tot.,3 hab.,3 baños,3 baños
